user_id,event_time,event_type,product_id,session_id,platform,ingestion_timestamp
user_783,2024-02-05 09:07:49,page_view,,session_1613,android,2025-06-11T22:11:00.146879
user_418,2024-02-22 06:14:07,"

login
",,session_811,web,2025-06-11T22:11:00.146879
user_508,2024-01-12 13:11:47,purchase,product_14,session_1779,web,2025-06-11T22:11:00.146879
user_840,2024-02-08 00:25:25,add_to_cart,product_2,session_106,android,2025-06-11T22:11:00.146879
user_932,2024-02-22 01:37:58,page_view,,session_780,android,2025-06-11T22:11:00.146879
user_863,2024-01-31 21:24:18,page_view,,session_1716,android,2025-06-11T22:11:00.146879
user_964,2024-02-27 19:45:05,page_view,,session_1301,tv,2025-06-11T22:11:00.146879
user_741,2024-01-01 05:39:14,purchase,product_22,session_962,web,2025-06-11T22:11:00.146879
user_497,2024-01-13 16:01:27,purchase,product_21,session_852,android,2025-06-11T22:11:00.146879
user_184,2024-01-14 02:20:55,purchase,product_41,session_571,web,2025-06-11T22:11:00.146879
user_531,2024-01-05 00:57:14,page_view,,session_1372,web,2025-06-11T22:11:00.146879
user_278,2024-01-26 06:44:05,"

login
",,session_310,ios,2025-06-11T22:11:00.146879
user_384,2024-01-07 16:33:12,purchase,product_37,session_628,android,2025-06-11T22:11:00.146879
user_856,2024-02-17 03:34:03,page_view,,session_978,web,2025-06-11T22:11:00.146879
user_483,2024-01-17 15:31:46,page_view,,session_1670,android,2025-06-11T22:11:00.146879
user_126,2024-01-26 13:50:17,page_view,,session_1225,ios,2025-06-11T22:11:00.146879
user_777,2024-02-24 19:07:51,page_view,,session_1472,web,2025-06-11T22:11:00.146879
user_582,2024-01-12 12:07:36,add_to_cart,product_45,session_1628,web,2025-06-11T22:11:00.146879
user_89,2024-01-09 01:57:58,add_to_cart,product_49,session_1242,ios,2025-06-11T22:11:00.146879
user_60,2024-01-03 21:31:53,page_view,,session_1022,android,2025-06-11T22:11:00.146879
user_363,2024-01-26 13:58:14,purchase,product_28,session_1660,android,2025-06-11T22:11:00.146879
user_39,2024-02-18 07:00:15,page_view,,session_1621,android,2025-06-11T22:11:00.146879
user_535,2024-01-18 10:48:56,page_view,,session_1002,ios,2025-06-11T22:11:00.146879
user_476,2024-01-12 07:49:23,page_view,,session_1792,tv,2025-06-11T22:11:00.146879
user_735,2024-02-06 09:06:33,add_to_cart,product_50,session_1861,tv,2025-06-11T22:11:00.146879
user_144,2024-01-29 01:16:16,purchase,product_26,session_1331,web,2025-06-11T22:11:00.146879
user_785,2024-02-14 15:35:09,page_view,,session_1574,web,2025-06-11T22:11:00.146879
user_526,2024-02-16 02:06:33,add_to_cart,product_47,session_594,tv,2025-06-11T22:11:00.146879
